AOI,NAME,NAME_1,NonHispanicBlackAfricanAmerican2022Percentage,NeighborhoodAreaFt,AllSingleFamParcelsCount,CorpSspctParcelsCount,ProportionSingFamParcelsCorpSspct,ProportionSingleFamilyAreaCorpSspct,ProportionNeighborhoodAreaCorpSspct,CorpSspct_AreaFeetSum,CorpSspct_AreaFeetMin,CorpSspct_AreaFeetMax,CorpSspct_AreaFeetRange,CorpSspct_AreaFeetMean,CorpSspct_AreaFeetMedian,CorpSspct_AreaFeetStddev,CorpSspct_AreaFeetQ1,CorpSspct_AreaFeetQ3,CorpSspct_AreaFeetIqr,NotCorpSspctAreaFeet_Sum,NotCorpSspctAreaFeet_Min,NotCorpSspctAreaFeet_Max,NotCorpSspctAreaFeet_Range,NotCorpSspctAreaFeet_Mean,NotCorpSspctAreaFeet_Median,NotCorpSspctAreaFeet_Stddev,NotCorpSspctAreaFeet_Q1,NotCorpSspctAreaFeet_Q3,NotCorpSspctAreaFeet_Iqr
,Grant Park,Grant Park,30.8,48274660.91,20,4,0.2,0.319744855,0.000915264,44184.03613,3352.4104,22250.73438,18898.32397,11046.00903,9290.445679,6914.957821,6107.760254,15984.25781,9876.497559,94001.25562,3007.518311,11476.17017,8468.651855,5875.078476,4871.687866,2615.619279,4121.559448,7460.64917,3339.089722
,Green Acres Valley,Green Acres Valley,92.1,2123882.469,96,6,0.0625,0.130127675,0.165960389,352480.3599,16976.22949,262228.5786,245252.3491,58746.72664,18226.90735,91001.9416,17853.29395,18968.44312,1115.14917,2356246.736,4009.927002,506707.0552,502697.1282,26180.51929,18845.64685,53033.95431,18261.302,19383.1394,1121.837402
,Green Forest Acres,Green Forest Acres,92.1,4417195.129,153,10,0.065359477,0.046736896,0.044443329,196314.8555,16834.30273,25663.96729,8829.664551,19631.48555,19125.45923,2440.96887,17786.65625,20462.30615,2675.649902,4004110.735,16243.60742,655434.1335,639190.5261,28000.77437,21177.89282,53479.52414,18889.53235,25111.63245,6222.100098
,Greenbriar,Greenbriar,99.5,35810273.88,699,72,0.103004292,0.009980773,0.051257029,1835528.24,3359.539062,252987.7063,249628.1672,25493.44778,13252.26294,45335.82287,10598.16528,18960.12305,8361.957764,182070897,1012.010742,984012.4001,983000.3894,291780.2837,17808.74268,431695.1349,12369.20374,984012.4001,971643.1964
,Greenbriar Village,Greenbriar Village,91.9,1747126.086,136,18,0.132352941,0.153363874,0.219393854,383308.7251,8020.626221,116645.1516,108624.5254,21294.92917,12348.20972,24891.29807,9612.476807,17491.33521,7878.858398,2116032.975,7764.78418,520538.9995,512774.2153,17932.48284,10297.01721,47245.37302,9355.975098,12739.3396,3383.364502
,Grove Park,Grove Park,85.9,58442277.07,2213,624,0.281970176,0.292294952,0.220827828,12905681.08,3123.598633,1159755.856,1156632.257,20196.68401,9930.677979,62410.45615,7855.156372,13075.58862,5220.432251,31247257.6,743.034668,2544616.746,2543873.712,18755.8569,10513.32104,79906.13512,8347.027344,13263.40503,4916.377686
,Hammond Park,Hammond Park,67.7,16985727.06,498,119,0.238955823,0.18771115,0.093015465,1579935.308,5081.753174,138543.7163,133461.9631,13276.7673,10736.37036,12871.53094,8959.00647,13608.07153,4649.065063,6836907.866,528.3837891,880494.6558,879966.272,18039.33474,11091.21118,50008.74817,8957.931519,15531.54333,6573.611816
,Hanover West,Hanover West,17.9,4375278.377,245,1,0.004081633,0.11273142,0.133065109,582196.8928,582196.8928,582196.8928,0,582196.8928,582196.8928,0,582196.8928,582196.8928,0,4582262.944,2294.70752,283975.0906,281680.3831,29562.98674,23268.15015,25519.57067,19171.24109,33620.89978,14449.65869
,Harland Terrace,Harland Terrace,87.8,12836674.54,249,34,0.136546185,0.534248667,0.526871904,6763283.156,6446.469238,882891.6096,876445.1404,193236.6616,144860.0278,174018.2402,37226.17639,325345.2869,288119.1105,5896146.008,10100.82959,1176484.073,1166383.243,54593.94452,18423.28406,162110.3694,12953.62988,28198.69153,15245.06165
,Harvel Homes Community,Harvel Homes Community,91.6,687957.9346,65,7,0.107692308,0.040042913,0.125132659,86086.00562,8461.628174,11219.95386,2758.325684,9565.111735,9531.152832,809.4226853,8904.587891,9606.978516,702.390625,2063757.728,570.5554199,732187.4321,731616.8767,29909.53228,9487.501465,99198.31369,8887.099854,10920.42578,2033.325928
