AOI,NAME,NAME_1,NonHispanicBlackAfricanAmerican2022Percentage,NeighborhoodAreaFt,AllSingleFamParcelsCount,CorpSspctParcelsCount,ProportionSingFamParcelsCorpSspct,ProportionSingleFamilyAreaCorpSspct,ProportionNeighborhoodAreaCorpSspct,CorpSspct_AreaFeetSum,CorpSspct_AreaFeetMin,CorpSspct_AreaFeetMax,CorpSspct_AreaFeetRange,CorpSspct_AreaFeetMean,CorpSspct_AreaFeetMedian,CorpSspct_AreaFeetStddev,CorpSspct_AreaFeetQ1,CorpSspct_AreaFeetQ3,CorpSspct_AreaFeetIqr,NotCorpSspctAreaFeet_Sum,NotCorpSspctAreaFeet_Min,NotCorpSspctAreaFeet_Max,NotCorpSspctAreaFeet_Range,NotCorpSspctAreaFeet_Mean,NotCorpSspctAreaFeet_Median,NotCorpSspctAreaFeet_Stddev,NotCorpSspctAreaFeet_Q1,NotCorpSspctAreaFeet_Q3,NotCorpSspctAreaFeet_Iqr
,Oakland City,Oakland City,83.9,27459718.63,1293,331,0.255993813,0.202659192,0.117568258,3228391.286,2286.700928,127543.4082,125256.7073,9665.842173,8413.351074,7746.846596,7268.179932,10196.43579,2928.255859,12701758.51,871.6914063,721207.4851,720335.7937,13040.81982,8807.220581,35876.92947,7589.421387,10339.052,2749.630615
,Old Fairburn Village,Old Fairburn Village,92.1,906050.3123,39,1,0.025641026,0.004030983,0.018091829,16392.10718,16392.10718,16392.10718,0,16392.10718,16392.10718,0,16392.10718,16392.10718,0,4050136.65,431.0910645,1703302.093,1702871.001,106582.5434,17544.53699,350521.4804,13159.45435,22533.19336,9373.739014
,Old Fourth Ward,Old Fourth Ward,37.1,34111773.15,89,7,0.078651685,0.162837026,0.00317326,108245.5259,5307.009766,54882.84888,49575.83911,13530.69073,8026.56189,15741.07701,5953.461914,10047.80981,4094.3479,556502.0986,1463.672119,12789.58398,11325.91187,5857.916828,6175.099121,1673.863481,5297.511841,6626.008423,1328.496582
,Old Gordon,Old Gordon,95.2,3424733.477,36,6,0.166666667,0.179597112,0.058105828,198996.9756,13890.2168,52603.64331,38713.42651,33166.1626,34520.56555,12555.79459,22019.61719,41442.36719,19422.75,909021.8174,8711.354736,143562.1221,134850.7673,30300.72725,25474.34729,24204.75085,17791.33325,34117.83179,16326.49854
Y,Orchard Knob,Orchard Knob,89,12786692.81,368,58,0.157608696,0.122782599,0.108305453,1384868.553,6393.429688,223245.1421,216851.7124,23877.04401,13381.18921,30670.68458,9998.818115,25518.65503,15519.83691,9894160.9,1995.457275,797162.7073,795167.25,31916.64806,14334.38477,62321.63068,9811.144531,30125.94434,20314.7998
Y,Ormewood Park,Ormewood Park,11.3,22037397.5,1337,77,0.057591623,0.079897708,0.0540655,1191462.914,4748.125732,82309.72729,77561.60156,15081.80904,8802.666748,15471.93202,7537.243286,13871.68994,6334.446655,13720891.11,523.4748535,494942.7891,494419.3142,10603.47072,8424.735718,17119.73417,7302.568848,10670.31152,3367.742676
,Paces,Paces,6.7,83775988.57,609,38,0.062397373,0.068436654,0.080079081,6708704.168,28366.58447,688191.7903,659825.2058,156016.376,135893.5818,127280.4331,76466.30444,167516.6632,91050.35876,91319234.8,1322.994629,4788652.234,4787329.24,153995.3369,81768.54175,417055.5967,48899.14331,112560.4131,63661.26978
,Peachtree Battle Alliance,Peachtree Battle Alliance,2.4,19978511.38,565,20,0.03539823,0.032238395,0.04172896,833682.4941,7578.851807,182663.0422,175084.1904,37894.65882,24745.61475,40122.70601,16508.35156,36377.03906,19868.6875,25026243.44,2294.131348,6141161.242,6138867.11,42779.90332,23201.53857,255151.3853,15654.7561,34983.4707,19328.7146
,Peachtree Heights East,Peachtree Heights East,4.1,5803162.029,300,15,0.05,0.047961353,0.034124595,198030.554,4341.351807,20618.06079,16276.70898,13202.03693,13255.76196,4588.043741,9982.215698,16627.65393,6645.438232,3930930.432,3555.822998,193283.126,189727.303,13792.73836,9766.735107,16420.75488,7574.009766,14837.1604,7263.150635
,Peachtree Heights West,Peachtree Heights West,11.9,25260753.77,742,102,0.137466307,0.314315642,0.398582093,10068484.09,3550.698486,203817.9736,200267.2751,95890.3247,105094.3428,57260.5588,48234.27612,105094.3428,56860.06665,21964551.32,5526.885498,1441774.256,1436247.371,56464.1422,35867.66016,131785.6739,24848.61133,47855.44482,23006.8335
,Peachtree Hills,Peachtree Hills,4.1,14401704.13,748,36,0.048128342,0.200484908,0.146057801,2103481.233,100,350784.6887,350684.6887,58430.03426,9954.741699,117651.1198,7704.253174,16627.70947,8923.456299,8388486.757,99.99951172,499429.4536,499329.4541,13210.21536,8861.88208,31808.51505,7803.009155,11183.80847,3380.799316
,Peachtree Park,Peachtree Park,16,13553029.71,535,24,0.044859813,0.100999585,0.065646787,889712.853,6337.738281,224045.0442,217707.3059,37071.36888,14572.1355,53111.78987,10426.12048,24146.49194,13720.37146,7919361.467,3420.625244,197341.054,193920.4287,15497.77195,13239.99878,13152.3229,9995.102295,17062.69641,7067.594116
,Penelope Neighbors,Penelope Neighbors,90.2,5499619.478,258,34,0.131782946,0.043270511,0.068306738,375661.0676,8516.715088,21753.05615,13236.34106,11048.85493,9580.446289,3622.908871,8997.861084,10466.13013,1468.269043,8306026.739,2075.965332,2422094.061,2420018.096,36429.94184,10315.57886,225640.9733,9144.725464,12994.72107,3849.995605
,Peoplestown,Peoplestown,72,14794078.43,149,12,0.080536913,0.076253634,0.00649521,96090.64111,4932.987793,11145.24829,6212.260498,8007.553426,7354.647339,1625.938652,7153.19165,9051.330933,1898.139282,1164054.424,1569.266113,20656.80566,19087.53955,8496.747619,8702.814453,2430.440257,7251.859375,9735.330566,2483.471191
,Perkerson,Perkerson,74.6,26475906.42,565,96,0.169911504,0.200092086,0.091139501,2413000.898,5024.145264,305125.925,300101.7798,25135.42603,11336.67151,46676.77421,9025.205933,18996.70654,9971.50061,9646451.052,189.9580078,456062.8447,455872.8867,20568.12591,11670.97363,40107.20943,9609.762695,15649.44946,6039.686768
,Peyton Forest,Peyton Forest,87.8,12479594.69,380,31,0.081578947,0.062428069,0.102113891,1274339.977,16376.30054,167046.6675,150670.3669,39823.12429,22705.3894,41523.78151,19152.89001,36167.9834,17015.09338,19138592.78,2718.939697,2271185.43,2268466.49,54681.69366,21637.92993,195238.0537,18970.72437,28003.1936,9032.469238
,Peyton Heights,Peyton Heights,89.2,5293459.696,161,6,0.037267081,0.029350424,0.045067489,238562.9368,19501.01855,59271.37939,39770.36084,39760.48946,41210.04736,14387.93038,24302.97021,53067.47388,28764.50366,7889528.695,1304.143555,853336.0374,852031.8938,48700.79442,24528.11511,86432.73878,19003.25806,43776.35767,24773.09961
,Piedmont Heights,Piedmont Heights,33.2,13527657.7,383,19,0.049608355,0.127174684,0.063870599,864019.5962,6934.253662,201734.7188,194800.4651,45474.71559,11274.6001,68971.85459,9017.336792,29508.53394,20491.19714,5929939.469,2872.701904,598254.5081,595381.8062,17544.19961,9822.943604,46445.94063,8510.529053,12819.26685,4308.737793
,Pine Hills,Pine Hills,22,31241690.2,794,36,0.04534005,0.202642516,0.108785764,3398651.126,736.4421387,653378.6709,652642.2288,94406.97572,25098.35791,152825.049,17645.25671,79698.93604,62053.67932,13373007.63,40.75244141,699002.4561,698961.7036,27687.3864,20615.50757,43957.30857,17799.46741,27366.30859,9566.841187
,Pittsburgh,Pittsburgh,74.3,22304542.55,1475,403,0.273220339,0.178344779,0.084151372,1876957.856,1228.241943,17517.45557,16289.21362,4657.463662,4286.866211,2250.404736,3180.548462,5198.915527,2018.367065,8647364.031,803.6757813,786594.4512,785790.7754,8059.053151,4694.885986,39625.73216,3583.724121,5407.283936,1823.559814
,Pleasant Hill,Pleasant Hill,6.7,11006253.77,109,3,0.027522936,0.051229963,0.069359518,763388.4578,96108.69043,313147.2903,217038.5999,190847.1144,177066.2385,96722.25218,96108.69043,285585.5385,189476.848,14137821.89,8350.034668,3560615.734,3552265.699,115883.786,82058.31995,317785.4486,55943.01685,97130.41528,41187.39844
Y,Polar Rock,Polar Rock,78.1,13060667.58,530,102,0.19245283,0.220961908,0.174062609,2273373.871,3486.944092,685236.8003,681749.8562,22071.59098,11455.53467,67876.57203,9606.415283,13900.54138,4294.126099,8015159.085,267.1691895,362461.6265,362194.4573,18639.90485,10968.01746,33852.80611,9598.163086,15343.17041,5745.007324
,Pomona Park,Pomona Park,92.4,2035340.808,117,15,0.128205128,0.133832326,0.113205607,230411.9915,11910.63257,22235.7876,10325.15503,15360.79943,14585.34912,3141.584763,12765.01855,17130.47229,4365.453735,1491234.782,20.18603516,36853.95776,36833.77173,14619.94885,12916.72046,4781.25109,12062.75952,16308.2915,4245.531982
,Princeton Lakes,Princeton Lakes,98.2,20785489.23,87,6,0.068965517,0.085040136,0.0313672,651982.6021,5125.752686,619557.9761,614432.2234,108663.767,6831.338257,228480.4353,6040.717041,7595.479736,1554.762695,7014780.756,2022.213623,1403160.181,1401137.968,86602.23155,7350.825928,283828.9252,6682.604004,12244.02612,5561.422119
,Randall Mill,Randall Mill,6.9,9491355.479,135,13,0.096296296,0.296915221,0.396039365,3758950.399,25566.02808,1765705.813,1740139.785,289150.0307,65924.24463,461976.9032,46067.78174,346060.1343,299992.3525,8901062.05,12830.97021,623031.0132,610200.043,72959.525,48417.99146,91586.96875,40685.91382,60063.35718,19377.44336
Y,Rebel Valley Forest,Rebel Valley Forest,89.9,4894277.885,181,68,0.375690608,0.552776543,0.461064101,2256575.831,7460.127441,660916.1726,653456.0452,33184.93869,9797.677368,99686.35959,9385.462769,11045.40869,1659.945923,1825681.021,7108.946045,367556.0015,360447.0554,16156.46921,9932.525146,36997.87808,9278.646484,11362.93408,2084.287598
,Regency Trace,Regency Trace,95.8,2961741.844,25,1,0.04,0.00716865,0.003383381,10020.70142,10020.70142,10020.70142,0,10020.70142,10020.70142,0,10020.70142,10020.70142,0,1387829.874,9577.262939,520538.9995,510961.7366,57826.24475,23333.92175,113176.3531,18031.96021,31880.59253,13848.63232
,Reynoldstown,Reynoldstown,26.7,17223812.06,3,1,0.333333333,0.337933614,0.000575851,9918.345703,9918.345703,9918.345703,0,9918.345703,9918.345703,0,9918.345703,9918.345703,0,19431.63696,1693.318848,17738.31812,16044.99927,9715.818481,9715.818481,8022.499634,1693.318848,17738.31812,16044.99927
,Ridgecrest Forest,Ridgecrest Forest,90,3230668.251,190,24,0.12631579,0.063200553,0.148983166,481315.1846,7362.499756,194057.3149,186694.8152,20054.79936,11206.08008,36598.05408,9401.856323,14190.56165,4788.705322,7134364.814,7248.817627,1632730.395,1625481.577,42978.10129,10890.65637,189584.5156,9276.813232,14633.91553,5357.102295
,Ridgedale Park,Ridgedale Park,28.9,5071968.849,152,14,0.092105263,0.079967959,0.055185033,279896.7681,14571.63745,28874.02002,14302.38257,19992.62629,20906.80957,3493.069168,16731.65161,20906.80957,4175.157959,3220214.655,2667.814697,351514.8267,348847.012,24395.56556,18422.67444,30684.37308,15319.23279,29027.98486,13708.75208
,Ridgewood Heights,Ridgewood Heights,17.9,5968603.015,425,15,0.035294118,0.22286763,1.104528403,6592491.559,5518.128662,1589185.763,1583667.634,412030.7224,17766.68298,679783.5134,11473.11572,829870.4614,818397.3457,22987809.42,5824.413574,4788652.234,4782827.821,88756.02091,17052.49609,512823.8448,12818.3429,31861.64844,19043.30554
,Riverside,Riverside,30.5,21784340.24,726,91,0.125344353,0.123892753,0.104359169,2273395.643,3002.26416,667408.8403,664406.5762,24982.3697,9712.188477,76199.79427,8309.524658,13228.99109,4919.466431,16076310.74,582.1621094,3164821.594,3164239.432,25237.53649,9867.934326,143367.0571,8187.222168,13137.56641,4950.344238
,Rockdale,Rockdale,69.6,15608124.23,11,3,0.272727273,0.119773558,0.031515971,491905.1882,10064.39233,427578.0557,417513.6633,163968.3961,54262.74023,187271.4838,32163.56628,240920.3979,208756.8317,3615054.606,68447.95337,928540.0923,860092.1389,401672.734,381908.6697,283476.9401,111020.5579,570474.1926,459453.6348
Y,Rosedale Heights,Rosedale Heights,89,8713077.432,183,20,0.109289618,0.037314621,0.053518247,466308.6331,10371.21509,90969.47192,80598.25684,23315.43165,13497.37329,20282.48134,12428.70935,25768.36023,13339.65088,12030364.68,8329.908691,6924257.279,6915927.37,73805.91826,13788.99976,540102.4887,12473.23474,32452.2843,19979.04956
,Rue Royal,Rue Royal,97.9,982002.4976,51,8,0.156862745,0.558949671,0.811871197,797259.5427,7401.261475,721683.9329,714282.6714,99657.44284,11744.02771,235108.6165,10272.6322,12070.51428,1797.88208,629093.4631,6699.933838,47335.81128,40635.87744,14630.08054,12134.6001,8320.271054,10868.02515,14429.68005,3561.654907
,Sandlewood Estates,Sandlewood Estates,91.9,2461632.193,204,19,0.093137255,0.194947393,0.311231509,766137.5027,8630.356201,501703.9299,493073.5737,40323.02646,11711.19019,109013.3802,9760.096313,17609.27893,7849.182617,3163832.999,4871.591309,520538.9995,515667.4082,17101.79999,10200.36963,49572.49181,9201.883789,13156.01514,3954.131348
,Scotts Crossing,Scotts Crossing,69.6,13539658.48,247,49,0.198380567,0.188366033,0.154965405,2098178.665,3881.320068,501545.0066,497663.6865,42819.97275,8536.150879,107614.0235,5733.930664,13869.6355,8135.704834,9040659.01,808.5769043,3164821.594,3164013.017,45659.89399,8887.408325,239541.6787,5836.812988,13984.62354,8147.810547
,Sherwood Forest,Sherwood Forest,8.9,5813186.502,240,7,0.029166667,0.011665981,0.021836189,126937.8411,8613.855957,26882.05176,18268.1958,15867.23013,15023.29333,5557.559873,11755.53406,18942.13928,7186.605225,10754087.62,6430.666016,2252736.644,2246305.978,40277.48173,19154.8606,196789.0959,16576.19153,23234.45459,6658.263062
,South Atlanta,South Atlanta,90.6,12879253.21,576,108,0.1875,0.130623716,0.061119334,787171.3762,1754.728516,34753.51465,32998.78613,7288.623854,6864.602783,4008.777906,5786.65625,7909.826294,2123.170044,5239080.23,1695.29126,429481.9031,427786.6118,11076.27956,7176.395264,31917.47224,6050.150879,8136.720459,2086.56958
,South Oakes at Cascade,South Oakes at Cascade,92.1,990553.21,3,1,0.333333333,0.95343925,0.615899045,610080.7759,610080.7759,610080.7759,0,610080.7759,610080.7759,0,610080.7759,610080.7759,0,29793.00293,11766.61108,18026.39185,6259.780762,14896.50146,14896.50146,3129.890381,11766.61108,18026.39185,6259.780762
Y,South River Gardens,South River Gardens,85.2,78582885.22,871,199,0.22847302,0.105909354,0.113550131,8923096.932,5293.156006,3339863.517,3334570.361,44839.68308,14095.53882,262214.2654,10987.51648,17970.86292,6983.346436,75329111,3462.011963,5626034.938,5622572.927,111930.3284,16169.69287,398117.2884,11157.18384,31597.14673,20439.96289
,South Tuxedo Park,South Tuxedo Park,11.2,10628146.05,288,25,0.086805556,0.111935788,0.075617329,803672.0156,5765.991455,142719.3772,136953.3857,32146.88063,25769.68652,28543.35392,9724.815674,38718.69995,28993.88428,6376087.32,7518.394043,789060.9285,781542.5344,31102.86498,23728.89111,67527.62453,10370.69604,30153.83618,19783.14014
,Southwest,Southwest,93,54992889.77,794,106,0.133501259,0.153740312,0.139514813,7672322.703,5482.404053,962102.9045,956620.5005,67896.66109,19597.53809,148237.2299,12655.34619,55054.56299,42399.2168,42232107.83,837.9147949,1782559.279,1781721.364,59065.88508,21200.35962,142824.9847,14513.71814,40796.47437,26282.75623
,Springlake,Springlake,7.6,6636466.804,403,16,0.039702233,0.134670978,0.116139424,770755.4294,7897.989014,272415.2703,264517.2813,42819.74608,11503.76807,81555.79434,9493.297363,20497.50195,11004.20459,4952492.768,3965.681152,58756.59009,54790.90894,13531.401,11283.67664,7094.15825,9276.231934,15343.37305,6067.141113
,State Facility,State Facility,42.3,5099474.589,38,4,0.105263158,0.020281459,0.017978344,91680.1084,13797.88477,43535.17188,29737.28711,22920.0271,17173.52588,11984.13188,15314.15356,30525.90063,15211.74707,4428710.11,11830.14819,2186538.741,2174708.593,130256.1797,17823.2373,439278.9451,13559.72827,25713.24463,12153.51636
,Summerhill,Summerhill,63.2,15012702.96,637,81,0.127158556,0.086520169,0.023175039,347919.9707,1051.524658,15099.12109,14047.59644,4045.581055,3643.005859,2235.899887,2684.850342,4594.473145,1909.622803,3673338.593,1100.207275,519748.4409,518648.2336,6606.724088,4287.647583,26283.42736,3132.165039,5356.411499,2224.24646
Y,Swallow Circle/Baywood,Swallow Circle Baywood,78.1,8689997.092,280,69,0.246428571,0.087209791,0.121082137,1052203.421,6485.43335,96085.9353,89600.50195,15249.32494,9160.196045,17260.13157,8259.051758,12059.53052,3800.47876,11012994.81,2563.467041,3410223.684,3407660.217,52194.28822,10122.19995,265542.4664,8500.214111,19777.22986,11277.01575
,Sylvan Hills,Sylvan Hills,70.9,45865190.76,1546,287,0.185640362,0.277132626,0.177218256,8128149.129,3441.868408,1378889.627,1375447.759,28028.10045,9111.163696,108475.9371,7582.474854,11012.04663,3429.571777,21201306.72,652.0473633,2126961.767,2126309.719,16773.18569,9315.419067,85190.79831,7628.738281,11128.2124,3499.474121
,Tampa Park,Tampa Park,97.9,748868.1521,54,8,0.148148148,0.083510111,0.181203196,135697.3025,11695.78955,22066.36597,10370.57642,16962.16281,17138.54102,4135.372234,12410.10767,21418.9248,9008.817139,1489223.326,6797.33667,749225.0833,742427.7466,32374.42014,14461.00574,107015.6257,12317.76001,20366.92578,8049.165771
,The Villages at East Lake,The Villages at East Lake,46.3,8157061.983,11,7,0.636363636,0.718895669,0.456895412,3726924.199,34446.46362,1488733.518,1454287.055,532417.7427,356603.0391,494779.9753,135220.6606,788349.9283,653129.2677,1457310.956,15765.94263,915253.1902,899487.2476,364327.7391,263145.9117,333893.5392,131956.9358,596698.5424,464741.6066
,Thomasville Heights,Thomasville Heights,88.6,17711138.87,570,99,0.173684211,0.167304496,0.133543569,2365208.702,3480.679688,580895.0881,577414.4084,23890.99699,11300.08447,74114.52067,9575.51355,14145.87671,4570.363159,11771940.99,1087.874023,1082654.277,1081566.403,24993.50528,11246.03955,80498.91416,9436.603149,14937.84534,5501.242188
,Tuxedo Park,Tuxedo Park,6.9,32018585.55,441,35,0.079365079,0.104558025,0.11424519,3657969.397,16023.77905,313459.1128,297435.3337,96262.35255,68251.61487,74359.50373,44775.04395,124984.1765,80209.13257,31327096.39,5051.961914,657920.418,652868.4561,68549.44504,51619.27368,62643.85612,33980.27051,84224.89307,50244.62256
,Underwood Hills,Underwood Hills,18.3,31289894.1,494,24,0.048582996,0.143863459,0.039268179,1228697.154,5898.460693,562516.4597,556617.999,45507.30201,13030.27368,108290.877,9609.683105,24739.87964,15130.19653,7312020.304,100,577055.1406,576955.1406,15201.70541,9837.037598,36833.54061,7600.89502,13150.09595,5549.200928
,Venetian Hills,Venetian Hills,87.4,26827770.85,1523,324,0.212738017,0.171880885,0.149644949,4014640.398,2963.631348,116892.7983,113929.167,12277.18776,10947.8623,8049.226835,7492.766357,14429.75574,6936.98938,19342467.66,1096.341064,406880.04,405783.699,15998.73256,12008.39453,24009.58626,9432.156006,16297.58179,6865.425781
Y,Virginia Highland,Virginia Highland,5.5,29227604.36,1776,92,0.051801802,0.051039355,0.035067158,1024929.028,99.99951172,63984.09009,63884.09058,10903.5003,8280.107544,9799.333054,7459.49707,9794.371826,2334.874756,19056222.81,99.99951172,603367.2051,603267.2056,11390.44998,8406.850342,23846.02855,7542.250244,9956.351074,2414.10083
,Washington Park,Washington Park,88.1,7145352.273,8,1,0.125,0.00251099,0.000397246,2838.462891,2838.462891,2838.462891,0,2838.462891,2838.462891,0,2838.462891,2838.462891,0,1127577.352,5170.909668,870636.9902,865466.0806,140947.169,9529.432495,279107.54,7245.507568,109109.7859,101864.2783
,Wesley Battle,Wesley Battle,17.9,8657659.576,299,4,0.013377926,0.076884736,0.092320304,799277.7664,29035.26563,582196.8928,553161.6272,199819.4416,94022.80396,226023.0036,32849.80542,366789.0778,333939.2723,9596514.758,835.8918457,1758274.571,1757438.679,46585.02309,29955.32312,123289.5544,22236.73218,44248.42749,22011.69531
,West End,West End,75.9,29663976.66,1055,162,0.153554502,0.146157704,0.051879765,1538960.138,99.99951172,39819.97388,39719.97437,9499.753936,8053.674194,5627.886896,6605.876465,10623.49634,4017.619873,8990489.211,177.7150879,493153.8286,492976.1135,10274.84481,8013.7854,21372.6443,6879.629761,9446.585815,2566.956055
,West Highlands,West Highlands,69.6,22085523.27,42,11,0.261904762,0.046128952,0.035130842,775883.0354,12198.86011,351268.2356,339069.3755,70534.8214,25139.02612,100955.0497,19566.23291,43011.81287,23445.57996,16043988.09,6252.974609,5360672.468,5354419.493,517548.003,44024.67017,1279158.021,25553.55969,213623.2241,188069.6644
,West Lake,West Lake,90.2,8078169.656,443,70,0.158013544,0.130300207,0.105775936,854475.9526,1073.838623,94102.05176,93028.21313,12206.79932,8906.508789,12418.90116,7324.347656,12282.10864,4957.760986,5703272.264,2794.542725,233852.3152,231057.7725,15290.27417,9765.037109,24338.81716,7633.359619,11849.84985,4216.490234
,West Manor,West Manor,92.1,7488643.844,224,13,0.058035714,0.057556594,0.052034105,389664.8782,17171.08496,71674.44092,54503.35596,29974.2214,24773.77954,14090.31002,21544.29883,35585.69946,14041.40063,6380452.15,747.3569336,457110.3474,456362.9905,30239.10971,23767.64917,34479.92558,19243.98047,31267.19421,12023.21375
,West Paces Ferry/Northside,West Paces Ferry Northside,6.9,18643305.67,437,17,0.038901602,0.05204112,0.05411227,1008831.581,18347.97876,118563.5947,100215.616,45855.98097,32514.64624,31823.50954,20077.55981,63181.73828,43104.17847,18376446.63,12074.89136,1347683.541,1335608.65,40566.10734,24437.96191,92477.91818,20229.5271,35318.16284,15088.63574
,Westhaven,Westhaven,87.8,6612776.472,127,20,0.157480315,0.203796825,0.109095262,721422.5811,8071.851807,403192.8318,395120.98,36071.12905,14838.98987,84560.712,10347.45068,24736.75842,14389.30774,2818488.208,624.326416,192650.1223,192025.7959,26341.01129,20449.45703,28564.70161,12854.12097,29722.16919,16868.04822
,Westminster/Milmar,Westminster Milmar,3.8,3940356.62,140,3,0.021428571,0.04792122,0.038561891,151947.6006,49435.88818,52432.02222,2996.134033,50649.2002,50079.69019,1287.752829,49757.78918,51255.8562,1498.067017,3018831.463,2523.058838,66659.23315,64136.17432,20125.54309,18169.40674,8945.455151,15828.76147,23441.34448,7612.583008
,Westover Plantation,Westover Plantation,17.9,2235693.18,283,5,0.017667845,0.934973482,5.947007002,13295682.99,582196.8928,1589185.763,1006988.87,1477298.11,1589185.763,316466.0704,1589185.763,1589185.763,0,924702.1287,62008.1272,451340.8359,389332.7087,308234.0429,411353.1655,174871.676,236680.6464,431347.0007,194666.3544
,Westview,Westview,75.1,17450289.65,1264,211,0.16693038,0.081643361,0.126241865,2202957.107,3428.834229,76934.97949,73506.14526,10198.8755,7905.268921,8636.155138,7158.37915,10143.00085,2984.621704,24779728.21,623.324707,12395523.6,12394900.27,23443.45148,8445.012939,387094.8422,7259.665283,9999.00415,2739.338867
,Westwood Terrace,Westwood Terrace,93.4,6147412.03,427,57,0.133489461,0.013919055,0.097018442,596412.3376,5899.206787,21374.47974,15475.27295,10463.37434,9191.973145,3772.6875,7816.94873,12436.79688,4619.848145,42252210.53,996.8442383,12395523.6,12394526.75,111483.4051,10400.56543,983253.4027,7676.626221,15143.72607,7467.099854
,Whitewater Creek,Whitewater Creek,6.9,10510228.72,143,9,0.062937063,0.102007394,0.107204651,1126745.402,43996.55835,434910.0754,390913.5171,125193.9335,102839.4927,113882.2108,49285.12915,116884.5042,67599.375,9918977.459,7422.125977,1060269.318,1052847.192,68881.78791,52027.93066,87701.50822,44408.56458,70842.76648,26434.2019
,Whittier Mill Village,Whittier Mill Village,30.5,8852402.621,145,4,0.027586207,0.086755016,0.032569628,288319.4604,6396.445557,261757.0496,255360.604,72079.86511,10082.98267,109523.7077,7648.380737,136511.3495,128862.9688,3035055.646,4764.220947,752176.1533,747411.9324,21525.21735,8645.182617,86986.98696,6496.658447,11018.24585,4521.587402
,Wildwood Forest,Wildwood Forest,98,2898583.552,151,11,0.072847682,0.406030221,0.683040709,1979850.564,11210.73755,1827728.53,1816517.793,179986.4149,15096.32373,521073.8854,12080.26538,19097.56323,7017.297852,2896265.705,10726.33276,206196.6357,195470.303,20687.61218,17765.77783,18336.00019,13889.21313,20314.42822,6425.215088
,Wildwood (NPU-C),Wildwood NPU C,7.6,10270034.29,407,11,0.027027027,0.09840586,0.08661263,889514.6814,10897.57202,272415.2703,261517.6982,80864.97104,23433.40918,104874.8117,12407.09619,117047.3307,104640.2345,8149730.341,3327.788818,303760.3086,300432.5198,22026.29822,16425.79797,24722.44608,13492.948,22574.47705,9081.529053
,Wildwood (NPU-H),Wildwood NPU H,90,7784112.681,517,42,0.081237911,0.002617779,0.110614236,861033.6743,7726.722656,194057.3149,186330.5923,20500.80177,12282.63794,28852.50384,10644.61133,16713.01123,6068.399902,328056604.1,7931.675293,1816718.805,1808787.13,690645.4824,1189654.298,580415.1052,13195.34253,1189654.298,1176458.955
,Wilson Mill Meadows,Wilson Mill Meadows,90,10539188.05,309,51,0.165048544,0.487976702,0.374422247,3946106.474,7487.43042,1418083.207,1410595.776,77374.63674,9338.510254,235322.9146,7956.071411,13144.79175,5188.720337,4140563.351,6515.760254,257088.4512,250572.6909,16048.69516,9619.619873,22892.5395,7958.821289,13113.81445,5154.993164
,Wisteria Gardens,Wisteria Gardens,90,4822528.131,269,27,0.100371747,0.072818326,0.082299139,396889.9121,9004.410645,55664.61206,46660.20142,14699.62637,11829.03589,8947.37012,10642.09705,14233.93579,3591.838745,5053522.565,7289.379395,833576.4028,826287.0234,20882.32465,11362.78613,57311.63866,10013.18164,13468.48755,3455.305908
,Woodfield,Woodfield,3.8,2020771.693,54,1,0.018518519,0.002741068,0.005264211,10637.7688,10637.7688,10637.7688,0,10637.7688,10637.7688,0,10637.7688,10637.7688,0,3870246.903,7302.334473,1593760.998,1586458.664,60472.60785,18941.93347,209580.334,14088.27429,27693.7699,13605.49561
,Woodland Hills,Woodland Hills,42.3,4125419.677,217,14,0.064516129,0.089383861,0.114693087,473157.1174,1010.98999,295848.6301,294837.6401,33796.93696,10723.5293,73858.54633,7701.281006,11377.18994,3675.908936,4820383.686,2509.601807,2186538.741,2184029.139,23399.92081,9990.525269,151713.6215,7601.172363,13181.56592,5580.393555
,Wyngate,Wyngate,2.4,8136555.007,164,8,0.048780488,0.067682062,0.080864362,657957.3298,25048.38989,182663.0422,157614.6523,73106.36998,68865.65015,48672.70201,31885.32544,77197.97852,45312.65308,9063338.279,17301.14429,784462.5813,767161.437,52693.8272,33739.19385,68032.93175,26054.26123,55506.61951,29452.35828
